id,name,availability,email,address
S1450,DDP Specialty Products GmbH & Co. KG,True,,"2538 Evan Row Apt. 053
Saundersmouth, NV 06724"
S9097,DNP,True,,"959 Alex Ridge Suite 722
Lisabury, CA 99017"
S9112,"AME energy Co.,Limited",False,,"214 Monica Walks
Emilyside, IL 21741"
S9325,Armor Battery Films,True,nourashraf225@gmail.com,"Unit 1709 Box 5392
DPO AA 65615"
S6569,Dupont (Test),True,dominikeitner@gmail.com,"2517 Johnson Way Suite 048
Ericaside, AZ 29310"
S3185,Eigenfertigung,True,,"283 Mora Mountain Apt. 943
Lucasfort, OK 88422"
S1052,MySupplierTest,False,,"2950 Annette Walk Apt. 391
Danielchester, LA 89546"
S1251,Intermediate Presentation Supplier,False,,"9080 Bryant Mill Suite 950
New William, OH 54130"
S9181,Elyte Innovations,True,,"USS Wilson
FPO AA 99914"
S5300,BASF,True,niklas.bloecker@uni-muenster.de,"Unit 6830 Box 0717
DPO AP 17201"
S8578,BTR,True,,"75080 Timothy Islands
Stacyton, AS 64136"
S2941,Celgrad,True,,"4919 Kimberly Gateway Apt. 045
Jodifort, DE 11927"
S1301,Cuircuit Foil,True,,"82453 William Cove Apt. 892
New Aaronbury, IA 35583"
S8871,ENEOS Materials Europe Belgium BV,True,,"281 Dean Knolls Apt. 918
Jacobton, MI 89795"
S2324,Freudenberg,True,,"9016 Shields Knolls
West Donna, MN 21093"
S1971,IBU-tec advanced materials AG,True,,"5063 Brown Grove
Craigland, FM 49151"
S6267,Imerys,True,,"07848 Jonathan Street
Smithstad, NV 74509"
S2124,Imerys Graphite & Carbon Switzerland SA,False,,"006 Timothy Terrace
South Danielberg, NY 56296"
S1113,Marubeni,True,,"8208 Pearson Alley
Martinezton, WA 64983"
S5748,Marubeni (CSC),True,,"PSC 8359, Box 6168
APO AE 12882"
S6786,Marubeni (Nan Ya),True,,"2680 Garcia Club
New Sandra, MA 28558"
S3148,Marubeni (OTC),True,,"941 Brittany Curve
North Michaelborough, MA 66776"
S4433,Marubeni (SEMCORP),True,,"861 Heather Forest
Hickmanchester, WV 65456"
S1272,Marubeni (Tyral),True,,"4808 Donovan Rest Apt. 178
Batesburgh, NY 46023"
S1047,MEET,True,,"9653 Haney Lock
Port Cynthiachester, AR 19306"
S4463,Nouryon,True,,"PSC 6570, Box 1312
APO AE 20254"
S8452,Resonac Corporation,True,,"USNS Ellis
FPO AA 98628"
S1196,Resonac Europe GmbH,True,,"9948 Shane Greens Apt. 502
Cranemouth, SD 17735"
S7268,Schlenk SE,True,,"PSC 8441, Box 0731
APO AP 94917"
S1894,Schlenk Metallfolien GmbH & Co. KG,True,,"31412 Wright Isle
Singhhaven, IN 39154"
S3393,Showa Denko Materials GmbH,True,,"830 Michael Fall Suite 994
Rebeccastad, IN 99911"
S6301,Solvay,True,,"PSC 2314, Box 1505
APO AA 69256"
S8915,Sonoco Plastics Germany GmbH,True,,"2315 Mason Drive
West Jaredview, CA 20244"
S8399,Speira GmbH,True,,"25729 Robin Dam
Lake Sharonberg, ID 22975"
S1973,Targray,True,,"42647 Garcia Lodge
Ryantown, MP 94786"
S6737,Zeon Europe GmbH,False,,"930 Mckee Island Apt. 224
Lake Cindyport, VT 39701"
S4792,ZSW,False,,"50542 Reyes Mall
East Stephanieview, GA 56339"
S9939,,False,,"1094 Perez Ports Apt. 692
West Emily, WY 50397"
S6680,,False,,"Unit 6510 Box 1606
DPO AA 63019"
S2032,,False,,"8942 Flores Ford Suite 954
Lisaborough, FM 77108"
S8083,Test 10,False,,"310 Cobb Mountains
East Thomas, UT 08412"
