id,material_id,supplier_id,amount,planned_delivery_date,delivery_date
O1153,M2818,S9939,248.92,2024-05-13,2024-05-28
O7764,M2818,S2124,563.23,2024-02-20,2024-04-12
O2488,M3339,S1196,616.02,2024-06-15,2024-02-02
O8726,M3339,S1272,850.06,2024-06-16,2024-03-03
O9852,M3339,S6569,23.48,2024-06-04,2024-01-14
O2180,M8902,S6786,890.86,2024-06-16,2024-01-07
O8788,M8902,S2032,381.21,2024-04-04,2024-03-02
O2993,M6419,S6569,831.86,2024-01-02,2024-04-05
O5769,M8001,S1450,560.19,2024-03-30,2024-06-02
O7198,M8001,S9181,179.7,2024-03-15,2024-06-18
